"","age","agecat","degree","educ","emailhrs","hrs1","ndegree","netcat","nethrs","sex","sphrs1","srcheng2","tvhours","usecomp","usemail","usenet","useweb","webhrs","hapmar","happy","speduc","rincome","life","income","maeduc","paeduc","marital","postlife","pres96","richwork","satjob","sibs","spdeg","spwrksta","vote96","wrkstat","zodiac","incomdol","rincdol","husbeduc","wifeduc","husbhr","wifehr","husbft","wifeft","wkftwife","wkfthusb","ageC","educ.diff","wifeduc_comp"
"1",69,"60-89","Less than HS",12,-1,-1,"Less than high school","Not Internet user",-1,"Male",-1,"Not applicable",5,"No","No","No","No",-1,"NAP","VERY HAPPY",97,"NAP","ROUTINE","$17500 TO 19999",8,4,"WIDOWED","YES","NAP","NAP","NAP",8,"NAP","NAP","DID NOT VOTE","RETIRED","GEMINI",18750,-2,NA,NA,NA,NA,NA,NA,NA,NA,22.3636363636364,NA,13.2845659163987
"2",27,"18-29","Less than HS",10,-1,60,"Less than high school","Not Internet user",-1,"Male",-1,"Not applicable",2,"No","No","No","No",-1,"VERY HAPPY","PRETTY HAPPY",13,"$30000 TO 34999","EXCITING","$40000 TO 49999",4,12,"MARRIED","NO","NAP","CONTINUE WORKING","VERY SATISFIED",1,"HIGH SCHOOL","KEEPING HOUSE","DID NOT VOTE","WORKING FULLTIME","LIBRA",45000,32500,10,13,60,NA,"Yes","No",0,1,-19.6363636363636,3,13
"3",19,"18-29","Less than HS",11,0,32,"Less than high school","More than 10",36,"Male",-1,"Yahoo",4,"Yes","No","Yes","Yes",36,"NAP","PRETTY HAPPY",97,"$10000 TO 12499","NAP","DK",12,10,"NEVER MARRIED","YES","NAP","NAP","A LITTLE DISSAT",2,"NAP","NAP","INELIGIBLE","WORKING PARTTIME","TAURUS",-2,11250,NA,NA,NA,NA,NA,NA,NA,NA,-27.6363636363636,NA,13.2845659163987
"4",21,"18-29","Less than HS",9,-1,20,"Less than high school","Not Internet user",-1,"Male",-1,"Not applicable",3,"No","No","No","No",-1,"NAP","NOT TOO HAPPY",97,"UNDER $1 000","DULL","$1 000 TO 2 999",11,9,"NEVER MARRIED","YES","NAP","CONTINUE WORKING","MOD. SATISFIED",6,"NAP","NAP","INELIGIBLE","WORKING PARTTIME","LIBRA",2000,500,NA,NA,NA,NA,NA,NA,NA,NA,-25.6363636363636,NA,13.2845659163987
"5",19,"18-29","Less than HS",11,50,-1,"Less than high school","More than 10",70,"Male",-1,"Lycos",7,"Yes","Yes","Yes","Yes",20,"NAP","PRETTY HAPPY",97,"DK","EXCITING","DK",12,12,"NEVER MARRIED","YES","NAP","NAP","NAP",5,"NAP","NAP","INELIGIBLE","SCHOOL","PISCES",-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,-27.6363636363636,NA,13.2845659163987
"6",87,"60-89","Less than HS",8,-1,-1,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",0,"No","No","No","No",-1,"NAP","DK",97,"NAP","DK","DK",8,8,"WIDOWED","YES","NAP","NAP",NA,2,"NAP","NAP","DID NOT VOTE","KEEPING HOUSE","AQUARIUS",-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,40.3636363636364,NA,13.2845659163987
"7",42,"40-49","Less than HS",11,3,-1,"Less than high school","1+ to  4 hours",3,"Male",-1,"Not applicable",2,"Yes","Yes","Yes","No",0,"VERY HAPPY","PRETTY HAPPY",10,"$12500 TO 14999","ROUTINE","$12500 TO 14999",8,8,"MARRIED","YES","NAP","CONTINUE WORKING","MOD. SATISFIED",10,"LT HIGH SCHOOL","KEEPING HOUSE","DID NOT VOTE","TEMP NOT WORKING","LIBRA",13750,13750,11,10,NA,NA,"No","No",0,0,-4.63636363636363,-1,10
"8",19,"18-29","Less than HS",11,-1,-1,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",-1,"Yes","No","No","No",-1,"NAP","PRETTY HAPPY",97,"$1 000 TO 2 999","EXCITING","$50000 TO 59999",12,13,"NEVER MARRIED","NAP","NAP","NAP","NAP",2,"NAP","NAP","INELIGIBLE","SCHOOL","GEMINI",55000,2000,NA,NA,NA,NA,NA,NA,NA,NA,-27.6363636363636,NA,13.2845659163987
"9",78,"60-89","Less than HS",7,-1,-1,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",4,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"NAP","ROUTINE","$1 000 TO 2 999",98,98,"WIDOWED","DK","CLINTON","NAP","NAP",6,"NAP","NAP","VOTED","RETIRED","SCORPIO",2000,-2,NA,NA,NA,NA,NA,NA,NA,NA,31.3636363636364,NA,13.2845659163987
"10",70,"60-89","Less than HS",9,-1,22,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",-1,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"$3 000 TO 3 999","EXCITING","$8 000 TO 9 999",8,98,"DIVORCED","NAP","CLINTON",NA,"MOD. SATISFIED",6,"NAP","NAP","VOTED","WORKING PARTTIME","PISCES",9000,3500,NA,NA,NA,NA,NA,NA,NA,NA,23.3636363636364,NA,13.2845659163987
